DATE,WIUR,WYUR
1/1/2010,8.641666667,6.45
1/1/2011,7.758333333,5.791666667
1/1/2012,7.033333333,5.308333333
1/1/2013,6.7,4.716666667
1/1/2014,5.416666667,4.133333333
1/1/2015,4.525,4.316666667
1/1/2016,4.008333333,5.275
