Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Connecticut,Both,All Ages,2010,2016,Suicide Firearm,2016,110,3576452,3.08,2.725423437
Both Sexes,All Races,Connecticut,Both,All Ages,2010,2016,Suicide Firearm,,763,25106843,3.04,.
Both Sexes,All Races,Delaware,Both,All Ages,2010,2016,Suicide Firearm,2010,43,897934,4.79,4.754667332
Both Sexes,All Races,Delaware,Both,All Ages,2010,2016,Suicide Firearm,2011,46,907924,5.07,4.644027519
Both Sexes,All Races,Delaware,Both,All Ages,2010,2016,Suicide Firearm,2012,46,916993,5.02,4.855901039
Both Sexes,All Races,Delaware,Both,All Ages,2010,2016,Suicide Firearm,2013,60,925395,6.48,5.941413293
Both Sexes,All Races,Delaware,Both,All Ages,2010,2016,Suicide Firearm,2014,59,934948,6.31,5.943040962
Both Sexes,All Races,Delaware,Both,All Ages,2010,2016,Suicide Firearm,2015,55,944076,5.83,5.51383722
Both Sexes,All Races,Delaware,Both,All Ages,2010,2016,Suicide Firearm,2016,65,952065,6.83,5.874584688
Both Sexes,All Races,Delaware,Both,All Ages,2010,2016,Suicide Firearm,,374,6479335,5.77,.
Both Sexes,All Races,District of Columbia,Both,All Ages,2010,2016,Suicide Firearm,2010,13,601723,2.16,2.198561445
Both Sexes,All Races,District of Columbia,Both,All Ages,2010,2016,Suicide Firearm,2011,P,620477,.,.
Both Sexes,All Races,District of Columbia,Both,All Ages,2010,2016,Suicide Firearm,2012,10,635327,1.57,1.575596982
Both Sexes,All Races,District of Columbia,Both,All Ages,2010,2016,Suicide Firearm,2013,P,649165,.,.
Both Sexes,All Races,District of Columbia,Both,All Ages,2010,2016,Suicide Firearm,2014,14,659005,2.12,1.985317027
Both Sexes,All Races,District of Columbia,Both,All Ages,2010,2016,Suicide Firearm,2015,11,670377,1.64,1.488142181
Both Sexes,All Races,District of Columbia,Both,All Ages,2010,2016,Suicide Firearm,2016,P,681170,.,.
Both Sexes,All Races,District of Columbia,Both,All Ages,2010,2016,Suicide Firearm,,66,4517244,1.46,.
Both Sexes,All Races,Florida,Both,All Ages,2010,2016,Suicide Firearm,2010,1454,18802690,7.73,6.882001661
Both Sexes,All Races,Florida,Both,All Ages,2010,2016,Suicide Firearm,2011,1490,19096952,7.8,6.975959315
Both Sexes,All Races,Florida,Both,All Ages,2010,2016,Suicide Firearm,2012,1550,19344156,8.01,7.099891854
Both Sexes,All Races,Florida,Both,All Ages,2010,2016,Suicide Firearm,2013,1566,19582022,8,7.078108688
Both Sexes,All Races,Florida,Both,All Ages,2010,2016,Suicide Firearm,2014,1538,19888741,7.73,6.79816974
Both Sexes,All Races,Florida,Both,All Ages,2010,2016,Suicide Firearm,2015,1630,20244914,8.05,7.041904784
Both Sexes,All Races,Florida,Both,All Ages,2010,2016,Suicide Firearm,2016,1672,20612439,8.11,7.097251563
Both Sexes,All Races,Florida,Both,All Ages,2010,2016,Suicide Firearm,,10900,137571914,7.92,.
Both Sexes,All Races,Georgia,Both,All Ages,2010,2016,Suicide Firearm,2010,718,9687663,7.41,7.450392417
Both Sexes,All Races,Georgia,Both,All Ages,2010,2016,Suicide Firearm,2011,742,9811610,7.56,7.529728832
Both Sexes,All Races,Georgia,Both,All Ages,2010,2016,Suicide Firearm,2012,750,9914668,7.56,7.470119327
Both Sexes,All Races,Georgia,Both,All Ages,2010,2016,Suicide Firearm,2013,747,9984938,7.48,7.388016913
Both Sexes,All Races,Georgia,Both,All Ages,2010,2016,Suicide Firearm,2014,841,10087231,8.34,8.21094456
Both Sexes,All Races,Georgia,Both,All Ages,2010,2016,Suicide Firearm,2015,823,10199398,8.07,7.945051146
Both Sexes,All Races,Georgia,Both,All Ages,2010,2016,Suicide Firearm,2016,871,10310371,8.45,8.090125371
Both Sexes,All Races,Georgia,Both,All Ages,2010,2016,Suicide Firearm,,5492,69995879,7.85,.
Both Sexes,All Races,Hawaii,Both,All Ages,2010,2016,Suicide Firearm,2010,37,1360301,2.72,2.557174938
Both Sexes,All Races,Hawaii,Both,All Ages,2010,2016,Suicide Firearm,2011,42,1377864,3.05,2.950519201
Both Sexes,All Races,Hawaii,Both,All Ages,2010,2016,Suicide Firearm,2012,43,1391820,3.09,2.783847135
Both Sexes,All Races,Hawaii,Both,All Ages,2010,2016,Suicide Firearm,2013,28,1406481,1.99,1.847642431
Both Sexes,All Races,Hawaii,Both,All Ages,2010,2016,Suicide Firearm,2014,33,1416349,2.33,2.175273926
Both Sexes,All Races,Hawaii,Both,All Ages,2010,2016,Suicide Firearm,2015,44,1425157,3.09,2.779470563
Both Sexes,All Races,Hawaii,Both,All Ages,2010,2016,Suicide Firearm,2016,37,1428557,2.59,2.426239831
Both Sexes,All Races,Hawaii,Both,All Ages,2010,2016,Suicide Firearm,,264,9806529,2.69,.
Both Sexes,All Races,Idaho,Both,All Ages,2010,2016,Suicide Firearm,2010,182,1567652,11.61,11.65269726
Both Sexes,All Races,Idaho,Both,All Ages,2010,2016,Suicide Firearm,2011,167,1584143,10.54,10.77327382
Both Sexes,All Races,Idaho,Both,All Ages,2010,2016,Suicide Firearm,2012,176,1595911,11.03,11.14345437
Both Sexes,All Races,Idaho,Both,All Ages,2010,2016,Suicide Firearm,2013,200,1612011,12.41,12.37153747
Both Sexes,All Races,Idaho,Both,All Ages,2010,2016,Suicide Firearm,2014,182,1633532,11.14,11.09515931
Both Sexes,All Races,Idaho,Both,All Ages,2010,2016,Suicide Firearm,2015,215,1652828,13.01,12.9429328
Both Sexes,All Races,Idaho,Both,All Ages,2010,2016,Suicide Firearm,2016,215,1683140,12.77,12.78695874
Both Sexes,All Races,Idaho,Both,All Ages,2010,2016,Suicide Firearm,,1337,11329217,11.8,.
Both Sexes,All Races,Illinois,Both,All Ages,2010,2016,Suicide Firearm,2010,442,12830632,3.44,3.343409038
Both Sexes,All Races,Illinois,Both,All Ages,2010,2016,Suicide Firearm,2011,461,12860012,3.58,3.443708809
Both Sexes,All Races,Illinois,Both,All Ages,2010,2016,Suicide Firearm,2012,490,12870798,3.81,3.614513536
Both Sexes,All Races,Illinois,Both,All Ages,2010,2016,Suicide Firearm,2013,496,12879505,3.85,3.648127076
Both Sexes,All Races,Illinois,Both,All Ages,2010,2016,Suicide Firearm,2014,533,12867544,4.14,3.958350775
Both Sexes,All Races,Illinois,Both,All Ages,2010,2016,Suicide Firearm,2015,495,12839047,3.86,3.684293751
Both Sexes,All Races,Illinois,Both,All Ages,2010,2016,Suicide Firearm,2016,506,12801539,3.95,3.725328406
Both Sexes,All Races,Illinois,Both,All Ages,2010,2016,Suicide Firearm,,3423,89949077,3.81,.
Both Sexes,All Races,Indiana,Both,All Ages,2010,2016,Suicide Firearm,2010,455,6483800,7.02,6.824040854
Both Sexes,All Races,Indiana,Both,All Ages,2010,2016,Suicide Firearm,2011,411,6516480,6.31,6.157254709
Both Sexes,All Races,Indiana,Both,All Ages,2010,2016,Suicide Firearm,2012,513,6537743,7.85,7.656791633
Both Sexes,All Races,Indiana,Both,All Ages,2010,2016,Suicide Firearm,2013,523,6569102,7.96,7.791038299
Both Sexes,All Races,Indiana,Both,All Ages,2010,2016,Suicide Firearm,2014,528,6595233,8.01,7.805155266
Both Sexes,All Races,Indiana,Both,All Ages,2010,2016,Suicide Firearm,2015,517,6612768,7.82,7.585278679
Both Sexes,All Races,Indiana,Both,All Ages,2010,2016,Suicide Firearm,2016,591,6633053,8.91,8.523856556
Both Sexes,All Races,Indiana,Both,All Ages,2010,2016,Suicide Firearm,,3538,45948179,7.7,.
Both Sexes,All Races,Iowa,Both,All Ages,2010,2016,Suicide Firearm,2010,177,3046857,5.81,5.592583846
