DATE,MOUR,MTUR,NEUR,NVUR,NHUR,NJUR,NMUR,NYUR,NCUR,NDUR,OHUR,OKUR
1/1/2010,9.575,7.3,4.625,13.5,5.833333333,9.533333333,8.1,8.591666667,10.81666667,3.783333333,10.24166667,6.775
1/1/2011,8.491666667,6.941666667,4.391666667,13.01666667,5.408333333,9.341666667,7.516666667,8.3,10.26666667,3.466666667,8.85,5.875
1/1/2012,6.975,5.983333333,4.016666667,11.19166667,5.483333333,9.333333333,7.116666667,8.516666667,9.291666667,3.066666667,7.408333333,5.266666667
1/1/2013,6.733333333,5.408333333,3.766666667,9.625,5.083333333,8.241666667,6.941666667,7.708333333,7.958333333,2.916666667,7.425,5.283333333
1/1/2014,6.133333333,4.658333333,3.266666667,7.916666667,4.275,6.741666667,6.683333333,6.333333333,6.316666667,2.675,5.8,4.508333333
1/1/2015,4.991666667,4.191666667,3.016666667,6.775,3.366666667,5.775,6.533333333,5.258333333,5.716666667,2.791666667,4.908333333,4.4
1/1/2016,4.575,4.133333333,3.091666667,5.733333333,2.858333333,4.983333333,6.683333333,4.85,5.091666667,3.058333333,5.05,4.816666667
